cost,charging_points,pay_at_location,is_operational,latitude,longitude,operator,connection_type,Address
Unknown,1,Unknown,Unknown,-37.9430275,145.1184356,Unknown,Unknown,"Osborne Avenue, Clayton South, Melbourne, City of Kingston, Victoria, 3169, Australia"
Unknown,2,Unknown,Unknown,-38.0870252,145.279579,Evie Networks,CHAdeMO,"South Gippsland Highway, Cranbourne, Melbourne, City of Casey, Victoria, 3977, Australia"
Unknown,2,Unknown,Unknown,-28.636313,153.553519,NRMA,CHAdeMO,"Ewingsdale Road, Ewingsdale, Byron Shire Council, New South Wales, 2481, Australia"
Unknown,1,Unknown,Unknown,-37.8188089,144.9426093,Unknown,Unknown,"Victoria Harbour Promenade, Victoria Harbour, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia"
Unknown,2,Unknown,Unknown,-35.7175328,147.317755,NRMA,CHAdeMO,"Prospect Street, Holbrook, Greater Hume Shire Council, New South Wales, 2644, Australia"
Unknown,2,Unknown,Unknown,-33.7965055,151.1833566,EVLink,Unknown,"EVLink, Anderson Street, Chatswood, Lower North Shore, Sydney, Willoughby City Council, New South Wales, 2067, Australia"
Unknown,1,Unknown,Unknown,-36.0283814,146.8959075,Unknown,Unknown,"Waste Road, Hamilton Valley, Albury, Albury City Council, New South Wales, 2641, Australia"
Unknown,2,Unknown,Unknown,-26.4170901,152.9114294,Yurika,"Type 2 (Socket Only), CHAdeMO","Yurika, Elm Street, Cooroy Park, Cooroy, Noosa Shire, Queensland, 4563, Australia"
Unknown,1,Unknown,Unknown,-37.8098361,144.9692983,Unknown,Unknown,"Exhibition Street, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia"
Unknown,1,Unknown,Unknown,-37.8101221,144.970523,Secure Parking,Unknown,"Punch Lane, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia"
Unknown,1,Unknown,Unknown,-37.8055148,144.9633222,Arrow on Swanston,Unknown,"470-496, Swanston Street, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia"
Unknown,1,Unknown,Unknown,-37.8022448,144.9669687,Unknown,Unknown,"204-218, Lygon Street, Little Italy, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia"
Unknown,2,Unknown,Unknown,-37.8044709,144.9733535,Melbourne Museum,Unknown,"Nicholson Street, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia"
Unknown,1,Unknown,Unknown,-37.8014314,144.9427005,Jet Charge,Unknown,"Munster Terrace, North Melbourne, Melbourne, City of Melbourne, Victoria, 3051, Australia"
Unknown,1,Unknown,Unknown,-37.812617,144.939222,The District Docklands,Unknown,"Waterfront Way, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia"
Unknown,1,Unknown,Unknown,-37.8129804,144.9370084,The District Docklands,Unknown,"Pearl River Road, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia"
Unknown,1,Unknown,Unknown,-37.8100036,144.9509974,Flagstaff City Inn,Unknown,"45, Dudley Street, West Melbourne, Melbourne, City of Melbourne, Victoria, 3003, Australia"
Unknown,1,Unknown,Unknown,-37.8319526,144.9607646,Unknown,Unknown,"261, Clarendon Street, South Melbourne, Melbourne, City of Port Phillip, Victoria, 3205, Australia"
Unknown,1,Unknown,Unknown,-37.8322063,144.9692208,Unknown,Unknown,"21, Bank Street, South Melbourne, Melbourne, City of Port Phillip, Victoria, 3205, Australia"
Unknown,1,Unknown,Unknown,-38.2998125,145.1705033,Unknown,Unknown,"Hodgins Road, Westpark, Hastings, Melbourne, Shire of Mornington Peninsula, Victoria, 3915, Australia"
Unknown,1,Unknown,Unknown,-30.9786335,150.2519137,NRMA,Unknown,"Little Barber Street, Gunnedah, Gunnedah Shire Council, New South Wales, 2380, Australia"
Unknown,1,Unknown,Unknown,-38.2661166,144.5220013,Geelong Regional Libraries,Unknown,"The Avenue, Ocean Grove, City of Greater Geelong, Victoria, 3226, Australia"
Unknown,1,Unknown,Unknown,-38.184512,146.2375699,Chargefox,Unknown,"Lloyd Street, Moe, City of Latrobe, Victoria, 3825, Australia"
Unknown,1,Unknown,Unknown,-34.18882,142.162711,NRMA,CHAdeMO,"NRMA, Orange Avenue, Mildura, Rural City of Mildura, Victoria, 3500, Australia"
Unknown,22,Unknown,Unknown,-32.9291638,151.7720103,Chargefox,Unknown,"Laman Street, Cooks Hill, Newcastle, Newcastle-Maitland, City of Newcastle, New South Wales, 2300, Australia"
